Date,Activos,Ocupados,Parados,Actividad(%),Paro(%)
2001-04-16,17932.1,16076.3,1855.8,52.73,10.35
2001-04-17,17932.1,16076.3,1855.8,52.73,10.35
2001-04-18,17932.1,16076.3,1855.8,52.73,10.35
2001-04-19,17932.1,16076.3,1855.8,52.73,10.35
2001-04-20,17932.1,16076.3,1855.8,52.73,10.35
2001-04-21,17932.1,16076.3,1855.8,52.73,10.35
2001-04-22,17932.1,16076.3,1855.8,52.73,10.35
2001-04-23,17932.1,16076.3,1855.8,52.73,10.35
2001-04-24,17932.1,16076.3,1855.8,52.73,10.35
2001-04-25,17932.1,16076.3,1855.8,52.73,10.35
2001-04-26,17932.1,16076.3,1855.8,52.73,10.35
2001-04-27,17932.1,16076.3,1855.8,52.73,10.35
2001-04-28,17932.1,16076.3,1855.8,52.73,10.35
2001-04-29,17932.1,16076.3,1855.8,52.73,10.35
2001-04-30,17932.1,16076.3,1855.8,52.73,10.35
2001-05-01,17932.1,16076.3,1855.8,52.73,10.35
2001-05-02,17932.1,16076.3,1855.8,52.73,10.35
2001-05-03,17932.1,16076.3,1855.8,52.73,10.35
2001-05-04,17932.1,16076.3,1855.8,52.73,10.35
2001-05-05,17932.1,16076.3,1855.8,52.73,10.35
2001-05-06,17932.1,16076.3,1855.8,52.73,10.35
2001-05-07,17932.1,16076.3,1855.8,52.73,10.35
2001-05-08,17932.1,16076.3,1855.8,52.73,10.35
2001-05-09,17932.1,16076.3,1855.8,52.73,10.35
2001-05-10,17932.1,16076.3,1855.8,52.73,10.35
2001-05-11,17932.1,16076.3,1855.8,52.73,10.35
2001-05-12,17932.1,16076.3,1855.8,52.73,10.35
2001-05-13,17932.1,16076.3,1855.8,52.73,10.35
2001-05-14,17932.1,16076.3,1855.8,52.73,10.35
2001-05-15,17932.1,16076.3,1855.8,52.73,10.35
2001-05-16,17932.1,16076.3,1855.8,52.73,10.35
2001-05-17,17932.1,16076.3,1855.8,52.73,10.35
2001-05-18,17932.1,16076.3,1855.8,52.73,10.35
2001-05-19,17932.1,16076.3,1855.8,52.73,10.35
2001-05-20,17932.1,16076.3,1855.8,52.73,10.35
2001-05-21,17932.1,16076.3,1855.8,52.73,10.35
2001-05-22,17932.1,16076.3,1855.8,52.73,10.35
2001-05-23,17932.1,16076.3,1855.8,52.73,10.35
2001-05-24,17932.1,16076.3,1855.8,52.73,10.35
2001-05-25,17932.1,16076.3,1855.8,52.73,10.35
2001-05-26,17932.1,16076.3,1855.8,52.73,10.35
2001-05-27,17932.1,16076.3,1855.8,52.73,10.35
2001-05-28,17932.1,16076.3,1855.8,52.73,10.35
2001-05-29,17932.1,16076.3,1855.8,52.73,10.35
2001-05-30,17932.1,16076.3,1855.8,52.73,10.35
2001-05-31,17932.1,16076.3,1855.8,52.73,10.35
2001-06-01,17932.1,16076.3,1855.8,52.73,10.35
2001-06-02,17932.1,16076.3,1855.8,52.73,10.35
2001-06-03,17932.1,16076.3,1855.8,52.73,10.35
2001-06-04,17932.1,16076.3,1855.8,52.73,10.35
2001-06-05,17932.1,16076.3,1855.8,52.73,10.35
2001-06-06,17932.1,16076.3,1855.8,52.73,10.35
2001-06-07,17932.1,16076.3,1855.8,52.73,10.35
2001-06-08,17932.1,16076.3,1855.8,52.73,10.35
2001-06-09,17932.1,16076.3,1855.8,52.73,10.35
