Date,Actividad(%),Activos,AdjClose,Births,Close,Close_DJ,Debt_per_capita,Defunciones,Euribor,GDP_Value,High,High_DJ,High_EUR,IPC,Low,Low_DJ,Low_EUR,Ocupados,Open,Open_DJ,Open_EUR,Parados,Paro(%),Percentage,Price_EUR,Total_debt
2004-12-11,57.12,20667.7,8827.191406,1242.0,8827.200195,10543.22,9005.0,1016.0,2.301,0.6718,8831.099609,10616.23,1.3318,-0.1,8796.099609,10469.62,1.3137,18490.8,8805.299805,10552.16,1.3315,2176.9,10.53,45.4,1.3225,389888.0
2004-12-12,57.12,20667.7,8827.191406,1242.0,8827.200195,10543.22,9005.0,1016.0,2.301,0.6718,8831.099609,10616.23,1.3318,-0.1,8796.099609,10469.62,1.3137,18490.8,8805.299805,10552.16,1.3315,2176.9,10.53,45.4,1.3225,389888.0
2004-12-13,57.12,20667.7,8887.891602,1242.0,8887.900391,10638.32,9005.0,1016.0,2.301,0.6718,8892.299805,10678.52,1.3329,-0.1,8834.299805,10520.61,1.3188,18490.8,8834.900391,10543.44,1.3197,2176.9,10.53,45.4,1.3311,389888.0
2004-12-14,57.12,20667.7,8893.791016,1242.0,8893.799805,10676.45,9005.0,1016.0,2.301,0.6718,8932.5,10715.76,1.3338,-0.1,8879.599609,10571.67,1.3258,18490.8,8916.5,10640.53,1.3315,2176.9,10.53,45.4,1.3303,389888.0
2004-12-15,57.12,20667.7,8871.191406,1242.0,8871.200195,10691.45,9005.0,1016.0,2.301,0.6718,8932.0,10749.53,1.3447,-0.1,8871.200195,10601.74,1.3261,18490.8,8917.0,10675.71,1.3303,2176.9,10.53,45.4,1.3385,389888.0
2004-12-16,57.12,20667.7,8898.791016,1242.0,8898.799805,10705.64,9005.0,1016.0,2.301,0.6718,8911.299805,10776.43,1.3431,-0.1,8877.099609,10612.31,1.3204,18490.8,8886.799805,10691.71,1.34,2176.9,10.53,45.4,1.3244,389888.0
2004-12-17,57.12,20667.7,8865.991211,1242.0,8866.0,10649.92,9005.0,1016.0,2.301,0.6718,8926.299805,10766.01,1.3318,-0.1,8812.099609,10562.76,1.3226,18490.8,8904.299805,10704.83,1.3241,2176.9,10.53,45.4,1.3309,389888.0
2004-12-18,57.12,20667.7,8865.991211,1242.0,8866.0,10649.92,9005.0,1016.0,2.301,0.6718,8926.299805,10766.01,1.3318,-0.1,8812.099609,10562.76,1.3226,18490.8,8904.299805,10704.83,1.3241,2176.9,10.53,45.4,1.3309,389888.0
2004-12-19,57.12,20667.7,8865.991211,1242.0,8866.0,10649.92,9005.0,1016.0,2.301,0.6718,8926.299805,10766.01,1.3318,-0.1,8812.099609,10562.76,1.3226,18490.8,8904.299805,10704.83,1.3241,2176.9,10.53,45.4,1.3309,389888.0
2004-12-20,57.12,20667.7,8894.491211,1242.0,8894.5,10661.6,9005.0,1016.0,2.301,0.6718,8922.700195,10769.13,1.3415,-0.1,8858.400391,10622.2,1.3298,18490.8,8866.799805,10652.14,1.3334,2176.9,10.53,45.4,1.3394,389888.0
2004-12-21,57.12,20667.7,8941.791016,1242.0,8941.799805,10759.43,9005.0,1016.0,2.301,0.6718,8941.799805,10789.66,1.3409,-0.1,8898.900391,10646.6,1.335,18490.8,8907.0,10661.89,1.3396,2176.9,10.53,45.4,1.3371,389888.0
2004-12-22,57.12,20667.7,9024.991211,1242.0,9025.0,10815.89,9005.0,1016.0,2.301,0.6718,9030.700195,10861.33,1.3407,-0.1,8967.599609,10709.78,1.3344,18490.8,8975.900391,10752.34,1.3369,2176.9,10.53,45.4,1.3388,389888.0
2004-12-23,57.12,20667.7,9054.191406,1242.0,9054.200195,10827.12,9005.0,1016.0,2.301,0.6718,9054.200195,10895.1,1.352,-0.1,9015.599609,10780.12,1.3381,18490.8,9018.5,10815.0,1.339,2176.9,10.53,45.4,1.3511,389888.0
2004-12-24,57.12,20667.7,9054.191406,1242.0,9054.200195,10827.12,9005.0,1016.0,2.301,0.6718,9054.200195,10895.1,1.3552,-0.1,9015.599609,10780.12,1.3487,18490.8,9018.5,10815.0,1.3518,2176.9,10.53,45.4,1.3531,389888.0
2004-12-25,57.12,20667.7,9054.191406,1242.0,9054.200195,10827.12,9005.0,1016.0,2.301,0.6718,9054.200195,10895.1,1.3552,-0.1,9015.599609,10780.12,1.3487,18490.8,9018.5,10815.0,1.3518,2176.9,10.53,45.4,1.3531,389888.0
2004-12-26,57.12,20667.7,9054.191406,1242.0,9054.200195,10827.12,9005.0,1016.0,2.301,0.6718,9054.200195,10895.1,1.3552,-0.1,9015.599609,10780.12,1.3487,18490.8,9018.5,10815.0,1.3518,2176.9,10.53,45.4,1.3531,389888.0
2004-12-27,57.12,20667.7,9050.691406,1242.0,9050.700195,10776.13,9005.0,1016.0,2.301,0.6718,9075.700195,10892.52,1.3642,-0.1,9039.799805,10755.67,1.3514,18490.8,9048.599609,10828.01,1.353,2176.9,10.53,45.4,1.3616,389888.0
