Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,8191.799805,8207.200195,8053.000000,8099.200195,8099.200195,213153000
2021-01-05,8052.200195,8118.100098,8037.399902,8091.500000,8091.500000,173796400
2021-01-06,8179.799805,8383.700195,8134.100098,8350.299805,8350.299805,275695700
2021-01-07,8383.799805,8399.500000,8274.099609,8385.799805,8385.799805,247341500
2021-01-08,8439.700195,8439.700195,8366.200195,8407.700195,8407.700195,204981400
2021-01-11,8369.200195,8411.900391,8317.000000,8357.500000,8357.500000,188251800
2021-01-12,8375.200195,8396.299805,8322.400391,8345.900391,8345.900391,207298100
2021-01-13,8353.900391,8386.599609,8318.700195,8361.099609,8361.099609,206409700
2021-01-14,8360.900391,8394.400391,8335.900391,8372.400391,8372.400391,196757600
2021-01-15,8332.200195,8361.700195,8173.799805,8230.700195,8230.700195,251305100
2021-01-18,8194.700195,8259.400391,8180.700195,8254.500000,8254.500000,122092800
2021-01-19,8303.700195,8320.200195,8198.400391,8199.000000,8199.000000,162964400
2021-01-20,8220.299805,8240.900391,8140.299805,8204.099609,8204.099609,147519500
2021-01-21,8234.500000,8275.900391,8117.899902,8122.100098,8122.100098,179934200
2021-01-22,8072.700195,8078.100098,7971.100098,8036.399902,8036.399902,233703000
2021-01-25,8076.899902,8085.799805,7846.000000,7897.299805,7897.299805,218852300
2021-01-26,7907.700195,8008.500000,7907.700195,7964.899902,7964.899902,177642900
2021-01-27,7950.399902,7995.500000,7782.500000,7852.700195,7852.700195,208275300
2021-01-28,7767.200195,7958.899902,7713.500000,7932.500000,7932.500000,201655300
2021-01-29,7825.799805,7882.899902,7757.299805,7757.500000,7757.500000,250623200
2021-02-01,7823.000000,7842.299805,7779.799805,7798.200195,7798.200195,182007000
2021-02-02,7844.600098,7958.899902,7828.100098,7950.899902,7950.899902,238438100
2021-02-03,8048.200195,8088.200195,7983.299805,8012.799805,8012.799805,220821600
2021-02-04,8031.399902,8122.600098,8005.399902,8122.600098,8122.600098,241673000
2021-02-05,8129.799805,8227.200195,8107.299805,8214.700195,8214.700195,261535200
2021-02-08,8251.799805,8260.299805,8187.899902,8219.000000,8219.000000,203539900
2021-02-09,8216.799805,8219.000000,8090.799805,8101.000000,8101.000000,159552300
2021-02-10,8127.200195,8144.299805,8026.899902,8065.399902,8065.399902,170296200
2021-02-11,8067.100098,8095.100098,8008.200195,8037.600098,8037.600098,136461900
2021-02-12,8025.000000,8055.000000,7921.299805,8055.000000,8055.000000,157832900
2021-02-15,8124.399902,8218.599609,8108.200195,8203.500000,8203.500000,193906300
2021-02-16,8215.099609,8222.299805,8129.200195,8153.700195,8153.700195,164686700
2021-02-17,8140.799805,8176.299805,8073.899902,8122.700195,8122.700195,190607900
2021-02-18,8133.500000,8168.600098,8045.299805,8058.100098,8058.100098,151455500
2021-02-19,8066.700195,8172.600098,8016.100098,8151.600098,8151.600098,209007000
2021-02-22,8119.600098,8126.299805,8045.299805,8112.200195,8112.200195,221465900
2021-02-23,8128.000000,8259.900391,8107.600098,8252.099609,8252.099609,293160800
2021-02-24,8266.599609,8311.500000,8205.200195,8269.599609,8269.599609,225852700
2021-02-25,8331.200195,8387.000000,8310.700195,8317.799805,8317.799805,309755000
2021-02-26,8218.599609,8377.099609,8166.299805,8225.000000,8225.000000,291865800
2021-03-01,8324.599609,8395.900391,8291.299805,8378.099609,8378.099609,182097000
2021-03-02,8360.900391,8436.500000,8328.599609,8355.799805,8355.799805,177712100
2021-03-03,8397.599609,8466.599609,8278.500000,8329.299805,8329.299805,240923800
2021-03-04,8285.099609,8382.200195,8273.900391,8354.000000,8354.000000,207044300
2021-03-05,8322.099609,8387.099609,8239.700195,8286.799805,8286.799805,259819800
2021-03-08,8358.000000,8458.400391,8307.500000,8444.200195,8444.200195,235094900
2021-03-09,8446.299805,8516.200195,8416.000000,8496.400391,8496.400391,281898000
2021-03-10,8479.500000,8561.099609,8462.299805,8525.200195,8525.200195,203746300
2021-03-11,8567.599609,8609.500000,8495.799805,8593.000000,8593.000000,189021600
2021-03-12,8570.000000,8644.500000,8554.400391,8644.500000,8644.500000,149113500
2021-03-15,8689.900391,8740.099609,8617.599609,8635.400391,8635.400391,210887200
2021-03-16,8679.400391,8717.599609,8617.799805,8657.700195,8657.700195,209943700
2021-03-17,8652.099609,8659.099609,8570.099609,8599.500000,8599.500000,173237000
2021-03-18,8632.599609,8658.799805,8587.099609,8624.599609,8624.599609,237338400
2021-03-19,8560.099609,8591.200195,8465.900391,8493.000000,8493.000000,375052600
2021-03-22,8430.200195,8432.599609,8324.799805,8343.500000,8343.500000,229082300
2021-03-23,8316.700195,8425.900391,8274.200195,8390.299805,8390.299805,203402800
2021-03-24,8351.299805,8443.700195,8288.799805,8443.700195,8443.700195,187924600
2021-03-25,8420.299805,8439.200195,8299.700195,8409.500000,8409.500000,161359200
2021-03-26,8480.500000,8528.799805,8437.799805,8498.200195,8498.200195,233895700
2021-03-29,8502.799805,8540.400391,8451.500000,8492.099609,8492.099609,177594200
2021-03-30,8542.900391,8612.299805,8532.400391,8595.200195,8595.200195,171860100
2021-03-31,8594.700195,8652.200195,8568.000000,8580.000000,8580.000000,265542300
2021-04-01,8595.599609,8610.099609,8542.700195,8577.599609,8577.599609,150979000
2021-04-06,8673.200195,8691.900391,8615.500000,8634.599609,8634.599609,201717300
2021-04-07,8648.299805,8661.799805,8592.200195,8597.400391,8597.400391,137394800
2021-04-08,8626.500000,8637.799805,8564.400391,8637.799805,8637.799805,165761800
2021-04-09,8639.299805,8647.400391,8565.799805,8565.799805,8565.799805,133458400
2021-04-12,8556.099609,8556.900391,8481.000000,8532.599609,8532.599609,131409400
2021-04-13,8533.200195,8568.299805,8467.299805,8525.099609,8525.099609,152574000
2021-04-14,8532.599609,8595.700195,8510.099609,8588.400391,8588.400391,133519000
2021-04-15,8603.099609,8621.900391,8564.700195,8571.599609,8571.599609,146073800
2021-04-16,8585.000000,8656.400391,8553.599609,8613.500000,8613.500000,176861600
2021-04-19,8613.799805,8741.400391,8609.299805,8711.400391,8711.400391,171375300
2021-04-20,8699.400391,8703.900391,8450.700195,8459.400391,8459.400391,214621600
2021-04-21,8492.900391,8566.299805,8426.200195,8519.799805,8519.799805,175189200
2021-04-22,8548.599609,8656.799805,8527.500000,8656.799805,8656.799805,136381300
2021-04-23,8629.400391,8674.000000,8571.700195,8618.599609,8618.599609,118119300
2021-04-26,8629.900391,8714.599609,8590.599609,8701.900391,8701.900391,162998200
2021-04-27,8690.799805,8756.700195,8655.299805,8756.700195,8756.700195,183162900
2021-04-28,8779.099609,8815.900391,8717.599609,8799.599609,8799.599609,218196700
