Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,8729.700195,8808.099609,8725.000000,8761.200195,8761.200195,117500900
2022-01-04,8821.599609,8834.099609,8784.700195,8795.799805,8795.799805,192378100
2022-01-05,8799.599609,8821.599609,8768.099609,8790.799805,8790.799805,146051700
2022-01-06,8664.599609,8789.900391,8628.900391,8789.900391,8789.900391,174962400
2022-01-07,8781.900391,8796.500000,8709.500000,8751.799805,8751.799805,170218700
2022-01-10,8771.400391,8775.400391,8679.500000,8706.900391,8706.900391,183558300
2022-01-11,8726.799805,8790.000000,8719.000000,8755.900391,8755.900391,169260700
2022-01-12,8803.099609,8804.099609,8754.799805,8770.299805,8770.299805,164262600
2022-01-13,8755.900391,8817.099609,8750.299805,8816.900391,8816.900391,155323200
2022-01-14,8767.400391,8810.099609,8739.700195,8806.599609,8806.599609,158545900
2022-01-17,8848.400391,8866.599609,8829.400391,8838.700195,8838.700195,136556800
2022-01-18,8811.000000,8820.900391,8761.799805,8781.599609,8781.599609,158132300
2022-01-19,8758.599609,8856.900391,8749.000000,8774.900391,8774.900391,226234800
2022-01-20,8783.299805,8825.700195,8737.799805,8814.599609,8814.599609,162948900
2022-01-21,8702.299805,8760.799805,8622.099609,8694.700195,8694.700195,227841100
2022-01-24,8660.000000,8673.500000,8361.400391,8417.799805,8417.799805,275306600
2022-01-25,8488.400391,8529.900391,8408.900391,8479.500000,8479.500000,200726000
2022-01-26,8526.599609,8696.400391,8525.599609,8620.200195,8620.200195,206013700
2022-01-27,8503.599609,8740.599609,8489.799805,8706.000000,8706.000000,267817900
2022-01-28,8705.700195,8713.099609,8515.000000,8609.799805,8609.799805,187559100
2022-01-31,8697.099609,8705.099609,8564.599609,8612.799805,8612.799805,213539000
2022-02-01,8679.900391,8745.099609,8665.000000,8726.700195,8726.700195,208657000
2022-02-02,8782.900391,8785.200195,8713.200195,8713.200195,8713.200195,182818500
2022-02-03,8694.400391,8735.599609,8660.099609,8689.400391,8689.400391,276245200
2022-02-04,8741.599609,8770.099609,8551.099609,8589.299805,8589.299805,314163100
2022-02-07,8646.299805,8649.799805,8509.000000,8558.400391,8558.400391,255601400
2022-02-08,8576.400391,8702.299805,8572.500000,8674.599609,8674.599609,282897600
2022-02-09,8736.299805,8850.200195,8716.900391,8846.400391,8846.400391,262478800
2022-02-10,8871.500000,8912.200195,8819.099609,8886.200195,8886.200195,281274100
2022-02-11,8797.299805,8833.500000,8766.500000,8798.099609,8798.099609,213210700
2022-02-14,8583.900391,8643.200195,8504.500000,8573.799805,8573.799805,310665400
