Date,Open,High,Low,Close,Adj Close
2021-01-01,8116.90,8129.800,8073.700,8073.700,8073.700
2021-01-02,8116.90,8129.800,8073.700,8073.700,8073.700
2021-01-03,8116.90,8129.800,8073.700,8073.700,8073.700
2021-01-04,8191.799805,8207.200195,8053.0,8099.200195,8099.200195
2021-01-05,8052.200195,8118.100098,8037.399902,8091.5,8091.5
2021-01-06,8179.799805,8383.700195,8134.100098,8350.299805,8350.299805
2021-01-07,8383.799805,8399.5,8274.099609,8385.799805,8385.799805
2021-01-08,8439.700195,8439.700195,8366.200195,8407.700195,8407.700195
2021-01-09,8439.700195,8439.700195,8366.200195,8407.700195,8407.700195
2021-01-10,8439.700195,8439.700195,8366.200195,8407.700195,8407.700195
2021-01-11,8369.200195,8411.900391,8317.0,8357.5,8357.5
2021-01-12,8375.200195,8396.299805,8322.400391,8345.900391,8345.900391
2021-01-13,8353.900391,8386.599609,8318.700195,8361.099609,8361.099609
2021-01-14,8360.900391,8394.400391,8335.900391,8372.400391,8372.400391
2021-01-15,8332.200195,8361.700195,8173.799805,8230.700195,8230.700195
2021-01-16,8332.200195,8361.700195,8173.799805,8230.700195,8230.700195
2021-01-17,8332.200195,8361.700195,8173.799805,8230.700195,8230.700195
2021-01-18,8194.700195,8259.400391,8180.700195,8254.5,8254.5
2021-01-19,8303.700195,8320.200195,8198.400391,8199.0,8199.0
2021-01-20,8220.299805,8240.900391,8140.299805,8204.099609,8204.099609
2021-01-21,8234.5,8275.900391,8117.899902,8122.100098,8122.100098
2021-01-22,8072.700195,8078.100098,7971.100098,8036.399902,8036.399902
2021-01-23,8072.700195,8078.100098,7971.100098,8036.399902,8036.399902
2021-01-24,8072.700195,8078.100098,7971.100098,8036.399902,8036.399902
2021-01-25,8076.899902,8085.799805,7846.0,7897.299805,7897.299805
2021-01-26,7907.700195,8008.5,7907.700195,7964.899902,7964.899902
2021-01-27,7950.399902,7995.5,7782.5,7852.700195,7852.700195
2021-01-28,7767.200195,7958.899902,7713.5,7932.5,7932.5
