Date,Actividad(%),Activos,AdjClose,Births,Close,Close_DJ,Debt_per_capita,Defunciones,Euribor,GDP_Value,High,High_DJ,High_EUR,IPC,Low,Low_DJ,Low_EUR,Ocupados,Open,Open_DJ,Open_EUR,Parados,Paro(%),Percentage,Price_EUR,Total_debt
2005-01-02,57.38,20857.4,9080.791016,1277.0,9080.799805,10800.3,8941.0,1061.0,2.3121,0.9816,9118.799805,10880.03,1.3662,-0.1,9080.799805,10781.67,1.3511,18736.1,9105.400391,10829.12,1.3638,2121.3,10.17,42.4,1.3558,393479.0
2005-01-03,57.38,20857.4,9124.09082,1277.0,9124.099609,10729.43,8941.0,1061.0,2.3121,0.9816,9154.299805,10892.67,1.3582,-0.8,9057.5,10694.18,1.3386,18736.1,9085.200195,10783.75,1.3547,2121.3,10.17,42.4,1.3463,393479.0
2005-01-04,57.38,20857.4,9119.991211,1277.0,9120.0,10630.78,8941.0,1061.0,2.3121,0.9816,9139.900391,10803.62,1.3496,-0.8,9094.200195,10587.48,1.3249,18736.1,9117.599609,10727.81,1.3466,2121.3,10.17,42.4,1.3272,393479.0
2005-01-05,57.38,20857.4,9024.391602,1277.0,9024.400391,10597.83,8941.0,1061.0,2.3121,0.9816,9066.200195,10736.16,1.3305,-0.8,9018.700195,10561.03,1.3215,18736.1,9064.400391,10629.53,1.3282,2121.3,10.17,42.4,1.3262,393479.0
2005-01-06,57.38,20857.4,9024.391602,1277.0,9024.400391,10597.83,8941.0,1061.0,2.3121,0.9816,9066.200195,10736.16,1.3286,-0.8,9018.700195,10561.03,1.3156,18736.1,9064.400391,10629.53,1.3262,2121.3,10.17,42.4,1.3171,393479.0
2005-01-07,57.38,20857.4,9041.09082,1277.0,9041.099609,10603.96,8941.0,1061.0,2.3121,0.9816,9072.900391,10697.81,1.3251,-0.8,9008.900391,10545.8,1.3024,18736.1,9055.400391,10624.8,1.3171,2121.3,10.17,42.4,1.3054,393479.0
2005-01-08,57.38,20857.4,9041.09082,1277.0,9041.099609,10603.96,8941.0,1061.0,2.3121,0.9816,9072.900391,10697.81,1.3251,-0.8,9008.900391,10545.8,1.3024,18736.1,9055.400391,10624.8,1.3171,2121.3,10.17,42.4,1.3054,393479.0
2005-01-09,57.38,20857.4,9041.09082,1277.0,9041.099609,10603.96,8941.0,1061.0,2.3121,0.9816,9072.900391,10697.81,1.3251,-0.8,9008.900391,10545.8,1.3024,18736.1,9055.400391,10624.8,1.3171,2121.3,10.17,42.4,1.3054,393479.0
2005-01-10,57.38,20857.4,9028.491211,1277.0,9028.5,10621.03,8941.0,1061.0,2.3121,0.9816,9058.799805,10696.85,1.3124,-0.8,9003.599609,10544.99,1.3049,18736.1,9045.599609,10603.44,1.3061,2121.3,10.17,42.4,1.3084,393479.0
2005-01-11,57.38,20857.4,8966.391602,1277.0,8966.400391,10556.22,8941.0,1061.0,2.3121,0.9816,9052.200195,10632.63,1.3172,-0.8,8952.099609,10504.72,1.3066,18736.1,9039.400391,10619.77,1.308,2121.3,10.17,42.4,1.3114,393479.0
2005-01-12,57.38,20857.4,8945.691406,1277.0,8945.700195,10617.78,8941.0,1061.0,2.3121,0.9816,8983.599609,10648.52,1.3294,-0.8,8919.900391,10481.37,1.3082,18736.1,8971.400391,10561.32,1.3109,2121.3,10.17,42.4,1.3265,393479.0
2005-01-13,57.38,20857.4,9016.791016,1277.0,9016.799805,10505.83,8941.0,1061.0,2.3121,0.9816,9016.799805,10650.96,1.3268,-0.8,8972.0,10463.26,1.3192,18736.1,8974.799805,10617.41,1.3257,2121.3,10.17,42.4,1.3218,393479.0
2005-01-14,57.38,20857.4,9025.09082,1277.0,9025.099609,10558.0,8941.0,1061.0,2.3121,0.9816,9033.599609,10606.47,1.3226,-0.8,8968.400391,10475.01,1.3056,18736.1,8970.299805,10506.71,1.3218,2121.3,10.17,42.4,1.3106,393479.0
2005-01-15,57.38,20857.4,9025.09082,1277.0,9025.099609,10558.0,8941.0,1061.0,2.3121,0.9816,9033.599609,10606.47,1.3226,-0.8,8968.400391,10475.01,1.3056,18736.1,8970.299805,10506.71,1.3218,2121.3,10.17,42.4,1.3106,393479.0
2005-01-16,57.38,20857.4,9025.09082,1277.0,9025.099609,10558.0,8941.0,1061.0,2.3121,0.9816,9033.599609,10606.47,1.3226,-0.8,8968.400391,10475.01,1.3056,18736.1,8970.299805,10506.71,1.3218,2121.3,10.17,42.4,1.3106,393479.0
2005-01-17,57.38,20857.4,9094.391602,1277.0,9094.400391,10558.0,8941.0,1061.0,2.3121,0.9816,9094.400391,10606.47,1.3129,-0.8,9040.200195,10475.01,1.3064,18736.1,9040.200195,10506.71,1.3102,2121.3,10.17,42.4,1.3064,393479.0
2005-01-18,57.38,20857.4,9096.891602,1277.0,9096.900391,10628.79,8941.0,1061.0,2.3121,0.9816,9104.799805,10665.44,1.3076,-0.8,9040.700195,10456.61,1.2994,18736.1,9085.799805,10554.23,1.3061,2121.3,10.17,42.4,1.3027,393479.0
2005-01-19,57.38,20857.4,9087.59082,1277.0,9087.599609,10539.97,8941.0,1061.0,2.3121,0.9816,9137.099609,10668.4,1.3119,-0.8,9086.5,10519.2,1.2963,18736.1,9113.0,10626.05,1.3024,2121.3,10.17,42.4,1.3001,393479.0
2005-01-20,57.38,20857.4,9017.691406,1277.0,9017.700195,10471.47,8941.0,1061.0,2.3121,0.9816,9055.599609,10582.09,1.3025,-0.8,9002.400391,10414.72,1.2921,18736.1,9034.799805,10538.9,1.3009,2121.3,10.17,42.4,1.2968,393479.0
2005-01-21,57.38,20857.4,8999.391602,1277.0,8999.400391,10392.99,8941.0,1061.0,2.3121,0.9816,9029.599609,10541.3,1.3069,-0.8,8985.299805,10370.97,1.293,18736.1,9001.200195,10471.98,1.2966,2121.3,10.17,42.4,1.305,393479.0
2005-01-22,57.38,20857.4,8999.391602,1277.0,8999.400391,10392.99,8941.0,1061.0,2.3121,0.9816,9029.599609,10541.3,1.3069,-0.8,8985.299805,10370.97,1.293,18736.1,9001.200195,10471.98,1.2966,2121.3,10.17,42.4,1.305,393479.0
